jour,0000,0005,0002,0003,0017,0012,0009,0004,autre
0,5,492,8,20,2,3,52,34,71
1,492,57,5,4,2,2,46,25,53
2,55,65,390,16,10,37,40,22,50
3,37,220,185,107,9,22,39,20,35
4,18,277,146,116,12,18,34,19,33
5,14,299,93,130,26,19,30,20,35
6,15,339,70,116,26,21,23,20,29
7,10,374,55,95,27,21,20,18,29
8,11,400,42,69,29,20,19,14,28
9,7,406,30,47,26,22,15,14,29
10,14,352,27,36,27,17,9,16,24
11,8,307,28,27,27,15,10,15,23
12,6,287,25,23,29,13,7,14,21
13,3,251,24,16,29,11,7,14,23
14,6,221,22,11,25,13,7,13,22
15,4,194,20,10,26,10,8,12,22
16,7,162,19,8,22,8,6,9,24
17,9,134,19,2,24,8,5,10,24
18,7,113,16,6,24,7,5,9,25
19,4,99,19,7,21,10,3,8,25
20,2,92,19,5,20,8,4,8,26
21,1,80,20,3,19,8,4,7,26
22,3,63,17,5,17,5,5,7,26
23,1,53,16,4,18,5,5,7,25
24,4,42,12,7,16,6,5,9,22
25,1,41,11,6,16,7,4,9,23
26,1,36,11,7,14,7,4,8,24
27,3,40,12,4,12,6,3,8,24
28,3,37,12,5,13,6,2,7,24
29,5,29,12,6,12,5,2,6,22
30,2,30,14,6,10,4,4,6,20
31,1,29,14,4,11,5,1,6,19
32,4,31,11,2,11,4,1,7,19
33,5,31,15,1,9,5,1,6,16
34,3,25,16,1,8,4,1,5,18
35,1,30,13,1,5,4,1,4,19
36,2,30,11,1,6,5,1,4,18
37,1,26,13,2,4,5,1,5,16
38,4,24,12,2,3,5,1,5,14
39,1,23,14,2,3,4,2,3,14
40,0,23,14,2,1,4,2,3,16
41,0,19,11,1,3,3,3,4,14
42,1,19,10,1,2,3,3,3,14
43,2,19,9,1,2,4,2,3,10
44,1,19,11,1,1,3,2,2,11
45,1,17,9,1,2,4,2,2,11
46,1,15,9,1,2,4,2,2,12
47,0,15,7,1,2,4,2,2,13
48,0,13,4,2,3,4,2,2,14
49,0,13,3,1,4,4,1,2,15
50,0,12,3,1,3,4,1,0,16
51,0,11,3,1,3,3,0,1,17
52,1,11,3,0,2,2,1,1,16
53,1,11,3,0,1,2,1,1,16
54,0,9,3,0,2,0,1,1,18
55,0,8,3,0,1,1,0,2,16
56,1,8,3,0,1,1,0,2,15
57,0,8,3,0,1,1,0,2,16
58,0,8,4,0,1,0,0,2,14
59,2,6,3,0,1,0,1,2,12
60,0,5,4,0,1,0,1,2,13
61,1,5,3,0,1,0,0,2,14
62,0,5,4,0,1,0,0,1,14
63,0,5,4,0,1,0,0,1,14
64,1,5,4,0,1,0,0,1,13
65,0,5,4,0,2,0,0,1,13
66,1,5,3,0,2,0,0,1,11
67,0,4,4,0,1,0,0,1,9
68,1,4,2,0,1,0,1,1,8
69,0,4,3,0,1,0,1,1,7
70,0,3,3,0,1,0,0,1,8
71,1,3,2,0,1,0,0,1,8
72,1,2,3,0,1,0,0,1,8
73,0,3,3,0,1,0,0,1,6
74,0,3,3,0,1,0,0,1,6
75,0,3,3,0,1,0,0,1,5
76,0,3,3,0,1,0,0,1,5
77,0,3,3,0,1,0,0,1,5
78,0,3,3,0,1,0,0,1,5
79,0,3,3,0,0,0,0,1,5
80,0,3,3,0,0,0,0,1,5
81,0,3,3,0,0,0,0,1,4
82,0,2,3,0,0,0,0,1,4
83,0,2,3,0,0,0,0,1,2
84,1,2,2,0,0,0,0,1,2
85,0,2,3,0,0,0,0,1,2
86,0,2,3,0,0,0,0,1,2
87,0,2,3,0,0,0,0,1,1
88,0,2,2,0,0,1,0,1,1
89,0,2,2,0,0,1,0,1,1
90,0,2,2,0,0,1,0,1,1
