jour,0000,2600,3870,3762,2670,3710,1410,3740,3711,3850,autre
0,8,996,34,40,183,151,102,7,13,9,197
1,60,997,22,45,183,155,99,9,15,11,144
2,1203,119,45,22,31,103,70,15,25,11,91
3,108,122,1009,53,21,90,82,105,27,23,91
4,110,91,1060,52,17,68,80,109,30,27,83
5,55,415,561,225,96,70,68,70,32,39,80
6,32,472,460,284,107,70,67,65,35,39,74
7,47,548,325,300,129,74,55,63,37,42,77
8,36,621,250,292,150,68,52,62,38,41,74
9,38,692,210,250,171,49,50,57,37,41,70
10,26,742,181,212,187,41,50,47,37,46,71
11,25,781,147,175,202,33,43,40,40,47,72
12,14,764,130,138,202,30,42,33,34,46,70
13,15,700,120,106,180,30,44,30,33,47,63
14,18,628,98,95,170,28,41,31,31,50,55
15,18,562,89,82,149,29,34,26,30,46,56
16,15,509,72,71,132,21,38,28,27,49,55
17,10,474,69,60,113,16,37,26,25,48,48
18,20,421,66,45,104,9,36,26,29,44,48
19,11,369,63,44,88,13,33,27,27,38,43
20,18,306,59,34,77,9,34,25,24,33,45
21,15,269,59,28,71,8,31,25,19,32,44
22,13,249,58,24,57,6,25,22,18,32,42
23,8,219,59,20,49,4,26,20,15,30,46
24,6,200,54,23,47,3,26,15,13,28,46
25,10,173,50,23,41,2,20,13,11,30,48
26,7,150,52,20,37,3,19,13,8,28,50
27,6,129,46,22,27,3,19,13,6,28,47
28,3,113,41,20,28,3,20,15,5,27,51
29,4,99,41,17,23,3,16,15,7,26,50
30,3,91,36,15,24,4,14,14,8,26,51
31,6,83,34,13,23,3,14,13,7,29,47
32,2,73,32,10,23,4,12,12,7,31,50
33,6,67,31,8,23,3,11,12,8,28,47
34,6,63,25,10,20,6,8,11,8,30,46
35,3,59,24,6,17,5,8,12,6,29,51
36,4,57,23,6,14,3,9,11,5,29,49
37,2,56,26,5,14,3,7,11,5,27,42
38,1,52,25,5,13,1,9,11,4,27,41
39,1,50,23,4,13,1,8,9,4,28,40
40,3,46,20,0,11,1,7,9,3,28,39
41,2,39,20,0,11,0,6,7,3,28,39
42,2,33,18,1,10,1,6,8,3,27,36
43,2,27,19,2,9,1,6,7,1,24,37
44,1,25,19,2,9,1,4,7,1,25,36
45,2,23,19,1,8,2,2,6,1,25,36
46,0,22,18,2,11,3,2,6,1,22,37
47,1,19,16,2,11,2,4,8,1,21,35
48,1,18,14,2,10,2,3,8,1,23,36
49,3,17,13,3,8,2,3,7,1,22,35
50,1,15,13,3,7,1,5,6,0,21,35
51,1,13,13,3,7,2,5,5,0,20,34
52,0,14,13,2,7,2,4,6,0,18,35
53,0,15,11,2,7,2,6,6,0,17,30
54,0,16,11,2,7,2,4,5,1,16,28
55,3,14,10,1,3,2,4,4,1,14,27
56,2,12,10,2,3,2,3,5,1,15,24
57,3,12,11,1,1,1,2,5,1,15,23
58,0,11,13,2,1,1,2,4,1,14,23
59,2,11,10,3,1,1,2,2,1,13,23
60,0,11,11,3,1,1,1,2,1,13,21
61,0,12,10,2,1,2,1,2,0,12,20
62,2,12,9,2,1,1,1,2,0,11,20
63,1,9,10,1,1,2,1,2,0,11,17
64,1,10,8,2,1,0,1,2,0,10,18
65,0,9,9,2,2,0,1,2,0,10,18
66,0,10,9,1,2,0,1,2,0,9,16
67,1,10,7,0,3,1,1,2,0,8,15
68,0,9,8,0,2,1,0,2,0,8,14
69,0,9,7,0,2,1,0,2,0,8,15
70,0,9,8,0,2,1,0,1,0,7,15
71,1,8,8,0,2,1,0,1,0,7,13
72,0,8,7,1,2,1,0,1,0,7,14
73,0,7,7,1,2,1,1,1,0,6,12
74,0,7,7,1,1,1,1,1,0,6,11
75,0,7,7,1,1,1,1,1,0,6,11
76,2,7,5,0,0,1,1,2,0,6,10
77,0,6,7,1,0,1,1,2,0,6,9
78,0,6,7,1,0,1,1,2,0,6,8
79,0,5,6,1,0,1,1,2,0,7,8
80,0,3,6,1,0,1,1,3,0,6,8
81,2,3,6,0,0,1,1,3,0,6,6
82,0,3,7,1,0,1,1,3,0,5,6
83,0,3,7,1,0,1,1,3,0,5,6
84,0,3,7,1,0,1,1,2,0,6,6
85,0,3,7,2,0,1,1,3,0,4,5
86,0,3,7,2,0,1,1,3,0,4,4
87,1,3,7,1,0,1,1,3,0,4,4
88,0,3,7,1,0,0,1,2,0,5,4
89,0,3,7,1,0,0,1,2,0,5,4
90,0,3,7,1,0,0,1,2,0,5,4
