jour,0000,0053,0101,0301,0029,0201,0202,autre
0,18,1172,32,50,167,112,34,6
1,53,1168,36,53,117,135,20,9
2,1130,134,51,31,100,119,13,7
3,116,132,962,59,96,100,112,1
4,86,110,1020,52,85,102,118,1
5,45,512,530,247,79,96,56,1
6,51,598,414,296,71,86,44,1
7,33,698,336,294,63,77,45,1
8,29,764,277,289,58,69,44,2
9,25,848,236,254,50,62,39,2
10,11,909,206,212,49,56,41,2
11,19,951,167,177,43,48,38,2
12,17,920,156,138,44,46,33,1
13,15,830,145,105,39,49,33,0
14,8,736,137,86,43,42,34,0
15,10,667,119,72,41,40,34,0
16,11,589,114,56,36,38,29,1
17,8,528,106,54,35,37,26,2
18,13,471,94,42,30,33,30,3
19,13,402,91,31,30,32,30,3
20,13,338,94,28,27,31,28,3
21,4,291,89,23,29,27,28,3
22,10,259,81,22,27,28,28,3
23,10,237,78,18,31,29,26,1
24,2,217,78,16,31,27,27,1
25,3,187,74,18,30,28,27,1
26,12,160,65,16,25,22,27,1
27,4,135,69,12,27,18,30,1
28,3,123,65,12,24,16,30,1
29,7,104,61,13,22,17,28,1
30,10,91,61,14,20,15,28,1
31,4,89,62,14,20,15,26,0
32,3,87,56,16,20,14,25,0
33,4,79,54,13,20,12,26,0
34,4,66,54,10,20,12,26,0
35,7,69,50,8,18,12,24,0
36,2,64,51,9,17,12,24,0
37,7,57,49,10,15,8,23,0
38,3,59,41,9,15,11,25,0
39,1,59,39,8,16,10,27,0
40,3,58,36,6,15,8,26,0
41,2,50,34,8,15,7,24,1
42,2,44,36,6,16,4,24,1
43,1,41,33,7,14,5,22,1
44,0,40,31,8,12,6,24,1
45,1,33,32,8,10,5,22,1
46,2,30,30,7,10,5,22,1
47,2,29,29,7,9,6,21,1
48,1,29,29,7,8,6,17,1
49,0,27,27,7,9,5,17,1
50,1,28,25,7,9,3,17,0
51,2,24,19,9,8,4,17,0
52,1,25,20,9,9,4,14,0
53,0,25,21,7,7,4,13,0
54,0,20,20,8,7,4,13,0
55,0,19,20,7,7,4,12,0
56,0,18,19,7,7,4,12,0
57,2,17,16,6,7,3,12,0
58,3,17,15,5,7,3,12,0
59,0,15,17,5,9,1,13,0
60,0,15,16,5,7,2,15,0
61,0,16,13,6,6,2,14,0
62,1,11,12,5,7,2,13,0
63,1,11,14,5,5,1,13,0
64,1,11,13,4,4,1,14,0
65,1,11,12,4,5,2,12,0
66,0,9,13,4,4,2,13,0
67,0,9,13,4,4,2,13,0
68,0,9,13,4,3,1,14,0
69,0,9,12,4,3,1,15,0
70,0,9,12,4,3,1,15,0
71,2,9,10,3,3,1,15,0
72,0,9,12,2,3,1,12,0
73,2,8,9,2,3,2,10,0
74,1,7,11,2,3,2,9,0
75,1,5,12,2,2,2,8,0
76,0,6,11,2,2,1,10,0
77,1,4,10,2,2,1,10,0
78,0,4,10,2,2,1,10,0
79,0,3,10,2,2,1,10,0
80,0,3,10,2,2,1,10,0
81,0,3,10,2,2,1,9,0
82,0,3,10,2,2,1,9,0
83,1,2,8,2,2,1,10,0
84,0,3,8,2,2,1,9,0
85,0,3,8,2,1,1,9,0
86,0,3,6,2,1,1,9,1
87,1,3,5,2,1,1,9,1
88,1,3,5,2,1,1,10,0
89,0,3,6,2,1,1,10,0
90,0,3,6,2,1,1,9,0
